NAME,TYPE
Lake Turkana fishing lodg,lodge
Eliye Springs fishing lod,lodge
Oasis club,lodge
Sunset camp,camp site
Elmolo camp,camp site
Maralal safari lodge,lodge
Mount Elgon Lodge,lodge
Sirikwa camp,camp site
,hotel
Lake Baringo lodge,lodge
Island camp,tented camp
Lake Baringo club,camp site
,hotel
,hotel
,hotel
,hotel
Sunset Hotel,hotel
,hotel
,hotel
Lake Bogoria Lodge,lodge
Thompson's falls lodge,lodge
Ngobit fishing lodge,lodge
Aberdare country club,hotel
Mweiga treetops hotel,lodge
outspan hotel,hotel
,hotel
The arc,lodge
Lion hill camp,tented camp
,hotel
Lake Nakuru lodge,lodge
,hotel
Tea Hotel kericho,hotel
Mid West Hotel,hotel
,hotel
,hotel
Mara Buffallo camp,tented camp
Mara River Camp,tented camp
Kichwa tembo camp,tented camp
Little governors camp,tented camp
Governors camp,tented camp
Mara Serena Logde,lodge
Mara Intrepid's club,lodge
Fig tree camp,tented camp
,camp site
Mara Sarova Camp,camp site
keekorok Lodge,lodge
Mara Sopa lodge,lodge
Cottar's mara camp,tented camp
Maasai lodge,lodge
,hotel
,hotel
,hotel
Naro moru river lodge,lodge
Mountain rock hotel,lodge
,hotel
,hotel
Karungu camp,camp site
Marsabit lodge,lodge
,camp site
,camp site
Bura country club lodge,lodge
Baome lodge,lodge
Petley's inn,hotel
Blue safari club,hotel
Ras Kitau beach hotel,hotel
Peponi hotel,hotel
Mlango wa chano lodge,lodge
Kiwayu lodge,lodge
Che shale club,hotel
crocodile camp,tented camp
Aruba lodge,lodge
Voi safari lodge,lodge
Salt lick lodge,lodge
Taita hills lodge,lodge
lake Jipe lodge,lodge
Kitani safari camp,lodge
Kilaguni lodge,lodge
Ngulia safari camp,lodge
Ngulia lodge,lodge
,camp site
Tsavo inn hotel,hotel
Tsavo safari camp,tented camp
Bush wacker's camp,camp site
Hunter's lodge,lodge
Kimana safari lodge,lodge
kilimanjaro buffallo lodg,lodge
Amboseli serena lodge,lodge
Oltukai lodge,lodge
Amboseli lodge,lodge
Kilimanjaro safari lodge,lodge
Namanga river lodge,lodge
Shompole lodge,lodge
,hotel
Lake Naivasha hotel,hotel
Safariland lodge,lodge
Fisherman's camp,camp site
,hotel
Forest lodge,lodge
,hotel
Shaba sarova lodge,lodge
Shaba camp,tented camp
Buffalo springs tented lo,lodge
Samburu game lodge,lodge
,camp site
Samburu serene lodge,lodge
,camp site
Maru mulika lodge,lodge
Leopard rock safari lodge,lodge
,camp site
Shimba hills lodge,lodge
Shimoni reef fishing lodg,lodge
Seascape villas,lodge
Four and twenty,lodge
Golden beach,lodge
New sea breeze hotel,lodge
new darling beach,lodge
,hotel
,hotel
,hotel
,hotel
,hotel
