osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
408799985,,Kisumu National Museum,,,,,,,,,,,museum
413939836,,Abasuba Community Peace Museum,,,,,,,,,,,museum
474970034,,Olorgesailie Prehistoric Site,,,,,,,,,,,museum
612932024,,German Post Office,,,,,,,,,,,museum
612932027,,Lamu Museum,,,,,,,,,,,museum
650258722,,Shimba Hills National Reserve,,,,,,,,,,,museum
656556828,,Gede Ruins,,,,,,,,,,,museum
1412485445,,Umoja Women Cultural Village,,,,,,,,,,,museum
1457775345,,National Museum of Kenya- Coastal Forest Conservation Unit,Mo-Fr 07:30-17:00,,,,,,,,,,museum
2983360582,,Athletics Museum,,,,,,,,,,,museum
3702721540,,Elben Historical Site,,,,,,,,,,,museum
4193481417,,B68,,,,,,,,,,,museum
4499372144,,House of Columns,,Malindi,,,,,Silversand Road,,,,museum
5063910504,,African Adventist Heritage Musuem,,,,,,,,,,,museum
5128771373,,Desert Museum - Loiyangalani,,Loiyangalani,,,,,,,,,museum
5464606635,,Kipsaraman Museum,,,,,,,,,,,museum
5555073980,,The Judiciary Museum,,Nairobi,,,,,City Hall Way,,,,museum
5555704197,,Uhuru Park Museum,,Nairobi,"Uhuru Park,",,,,Processional Way,,,,museum
6058009844,,Colobus Conservation,,Diani Beach,,,,,Diani Beach Road,,,,museum
6106202817,,Kitale Museum,,Kitale,,,,,Kwanza-Kapenguria Road,,,,museum
6115629922,,Narok Museum,,Narok,,,,,Kaplong-Narok-Maai Road,,,,museum
6134851705,,Meru Museum,,Meru,,,,,Meru-Nairobi Highway,,,,museum
6241666245,,Mumias Cultural Center,,Mumias,,,,,Mumias-Bungoma Road,,,,museum
6808015986,,African Heritage House,,Mlolongo,,,,,Mombasa Road,,,,museum
