osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
413574544,,Ol Dubai Public Campsite,,,,,,,,,,,camp_site
472267375,,Makalia Falls Public Campsite,,,,,,,,,,,camp_site
526772083,,Crayfish Camp,,,,,,,,,,,camp_site
604235545,,Endarasha Special Campsite,,,,,,,,,,,camp_site
604235546,,Bird Hide,,,,,,,,,,,camp_site
611097626,,Reedbuck Public Campsite,,Aberdare National Park,,,,,,,,,camp_site
611122058,,Robert's Camp,,Upper Kaptelit,,,,,Roberts Camp Road,,,,camp_site
611224149,,Kisumu Beach Resort,,,,,,,,,,,camp_site
611231207,,Twiga Lodge,,Tiwi Beach,,,,,Twiga Lodge Road,"restaurant,bar",,,camp_site
611257502,,Public Campsite,,,,,,,,,,,camp_site
612933248,,Moses Rock,,,,,,,,,,,camp_site
651910401,,,,,,GPS,,,,,,,camp_site
653500198,,Top Camp,,,,,,,,,,,camp_site
653678227,,,,,,,,,,,,,camp_site
653678347,,Lake Ellis,,,,,,,,,,,camp_site
653678764,,,,,,,,,,,,,camp_site
653744834,,,,,,,,,,,,,camp_site
653744855,,,,,,,,,,,,,camp_site
653815408,,Two Tarns,,,,,,,,,,,camp_site
653816268,,,,,,,,,,,,,camp_site
1003169235,,Lewa Safari Camp,,,,,,,,,,,camp_site
1073671471,,Oloongonot Campsite,,Mount Longonot National park,,,,,,,,,camp_site
1170057726,,Olololo Gate Public Camping,,,,,,,,,,,camp_site
1172857222,,Kakamega Forest Resthouse & Campsite,,Kakamega South,,,,,,,,,camp_site
1172857367,,Udo's Camping and Bandas,,,,,,,,,,,camp_site
1178720287,,,,,,,,,,place_of_worship,,,camp_site
1263317089,,Zephania Nyumba Kino caves,,,,,,,,,,,camp_site
1307585480,,Mara Siria,,,,,,,,,,,camp_site
1401341951,,Oldarpoi Maasai Safari Camp,,,,,,,,,,,camp_site
1403875319,,Kembu Campsite,,,,,,,,,,,camp_site
1407344986,,Thomson Falls Campsite,,,,,,,,,,,camp_site
1412485444,,Umoja Camp Site,,,,,,,,,,,camp_site
1413593270,,Samburu Public Campsite,,,,,,,Samburu National Reserve,,,,camp_site
1614128683,,Dorobo campsite,,,,,,,,,,,camp_site
1673961554,,Mara Bush Camp,,,,,,,,,,,camp_site
1711148636,,Ndololo Camp,,,,,,,,,,,camp_site
1830696608,,Offbeat Meru Tented Camp,,,,,,,,,,,camp_site
2235640559,,Sarara,,,,,,,,,,,camp_site
2368200468,,Sandai - African Footprints Ltd. - Camping,,,,,,,,,,,camp_site
2388669890,,Bantu Lodge,,,,,,,,,,,camp_site
2388711521,,KWS campsite,,,,,,,,,,,camp_site
2440123282,,Salato Women's Group Campsite,,,,,,,,,,,camp_site
2440123283,,Seriak Camp,,,,,,,,,,,camp_site
2485700390,,Savage Wilderness,,,,,,,,,,,camp_site
2485704405,,Rapids Camp,,,,,,,,,,,camp_site
2485748367,,Liki North,,,,,,,,shelter,,,camp_site
2520780705,,Camp Henry Marsabit,,,,,,,,,,,camp_site
2534844409,,Ebenezer Guest House,,,,,,,,,,,camp_site
2555524337,,Fisherman's Camp,,,,,,,,,,,camp_site
2705311118,,Ol Kirimatian Conservancy Camp Site,,,,,,,,,,,camp_site
2807962879,,Manyatta Backpackers & Safari,,,,,,,,,,,camp_site
2824918101,,Tuliahouse Backpackers,,,,,,,,,,,camp_site
2883946215,,Outward Bound,,,,,,,,,,,camp_site
3255775096,,Palm Shade Camp,,Loiyangalani,,,,,Loiyangalani,"restaurant,bar",,,camp_site
3255781416,,Samburu Sports Centre,,South Horr,,,,,,"restaurant;bar",,,camp_site
3255789861,,Yare Safari Lodge,,Maralal,,,,,,,,,camp_site
3255829622,,Ocean Sports,,Watamu,,,,,,,,,camp_site
3259511989,,Bush camp Lake Turkana,,,,,,,,,,,camp_site
3268554774,,Bush camp Naiberi River,,,,,,,,,,,camp_site
3273645731,,Eldoret River Camp,,,,,,,,,,,camp_site
3273650182,,Bush camp Samburu,,,,,,,,,,,camp_site
3302386846,,,,,,,,,,,,,camp_site
3369973793,,Tiva River Campsite,,,,,,,,,,,camp_site
3392340305,,Bondhei Campsite,,,,,,,,,,,camp_site
3392340306,,Camel Trekking Base Camp,,,,,,,,,,,camp_site
3392340308,,Aruba Mara Campsite,,,,,,,,,,,camp_site
3548521037,,Meltingpot Bush Camp,,,,,,,,,,,camp_site
3612612106,,Kananga River Camp,,,,,,,,,,,camp_site
3775113694,,Intrepid Camp,,,,,,,,,,,camp_site
3841318291,,,,,,,,,,,,,camp_site
4154163891,,The Comfort Hotel Camping,,,,,,,,,,,camp_site
4193481425,,kk security,,,,,,,,,,,camp_site
4284318379,,Ratpanat safari camp,,,,,,,,,,,camp_site
4284546642,,Leisure Camp,,,,,,,,,,,camp_site
4284586405,,Balloon Safaris Camp,,,,,,,,,,,camp_site
4313264837,,Lgoita Rocks Campsite,,,,,,,Kalama Conservancy,,,,camp_site
4313392591,,Lbaa Campsite,24/7,,,,,,Kalama Conservancy,,,,camp_site
4313428089,,Belindas Campsite,,,,,,,,,,,camp_site
4313439489,,Westgate Conservancy HQ Campsite,,,,,,,,,,,camp_site
4314330391,,Naibunga Conservancy Sunyai Campsite,24/7,,,,,,Naibunga Conservancy,,,,camp_site
4314332090,,Tiemamut Campsite,,,,,,,Naibunga Conservancy,,,,camp_site
4314362690,,Naibunga Conservancy Wakumbe Hills Campsite,24/7,,,,,,Naibunga Conservancy,,,,camp_site
4314394790,,Il Polei Campsite,24/7,,,,,,Naibunga Conservancy,,,,camp_site
4316030085,,Lake Paradise Alternate Campsite,,,,,,,,,,,camp_site
4316052076,,Nakuprat - Gotu Jeremy's Campsite,,Nakuprat Gotu,,,,,Shaba-Nakuprat-Gotu Road,,,,camp_site
4317246654,,Chyulu Hills Satellite Campsite,,,,,,,Chyulu Hills National Park,,,,camp_site
4317254700,,Chyulu Hills HQ Campsite,,,,,,,Chyulu Hills National Park,,,,camp_site
4318612874,,Lelin Overland Campsite,,,,,,,Iten,,,,camp_site
4318624690,,Lake Bogoria Clifftop Campsite,,Lake Bogoria,,,,,Lake Bogora National Reserve,,,,camp_site
4321028198,,,,,,,,,Lake Bogoria National Reserve,,,,camp_site
4321113933,,Lake Elementaita Lodge Campsite,,Gilgil,,,,,Nairobi-Nakuru Road,,,,camp_site
4323544312,,Crater Lake Sanctuary Campsite,,,,,,,,,,,camp_site
4323613157,,Kisula Caves Campsite,,,,,,,Chyulu Hills National Park,,,,camp_site
4328204238,,Possible Campsite,,,,,,,,,,,camp_site
4349423260,,Naiburta Public Campsite,,Hells Gate National Park,,,,,,,,,camp_site
4382492389,,,,,,,,,,,,,camp_site
4401055253,,Kimana Campsite,,,,,,,,,,,camp_site
4401061204,,Wildebeest Eco Camp,,,"Mokoyeti Rd W, Nairobi",,,,,,,,camp_site
4401061707,,Sandai Farm Campsite,,,,,,,,,,,camp_site
4401073939,,Takashack Campsite,,,,,,,,,,,camp_site
4401078978,,Kakamega Forest Resthouse & Campsite,,,,,,,,,,,camp_site
4403978500,,Sera Conservancy - Tumot Campsite,,Sera Conservancy,,,,,Sera Conservancy,,,,camp_site
4403979742,,Sera Conservancy - Rhino Sanctuary Campsite,,,,,,,Sera Conservancy,,,,camp_site
4404040918,,Sera Conservancy - Olosuwan Campsite,,Sera Conservancy,,,,,Sera Conservancy,,,,camp_site
4404296792,,Lpus Campsite,,,,,,,Kalama Conservancy,,,,camp_site
4404305731,,Kalama Campsite,,,,,,,,,,,camp_site
4404305732,,Campsite,,,,,,,,,,,camp_site
4405282195,,Lenchada Tourist Camp,,,,,,,,,,,camp_site
4419387390,,NVA - Carnelly's Camp,,,,,,,,,,,camp_site
4461779462,,Kitich Campsite,,,,,,,Namunyak Conservancy,,,,camp_site
4461829974,,Debrazza Campsite,,Namunyak Conservancy 2,Namunyak Conservancy,,,,Namunyak Conservancy,,,,camp_site
4472263285,,Mukogodo Forest Nikijabe Campsite,,Mukogodo Forest,,,,,Mukogodo Forest,,,,camp_site
4472302813,,Mukogodo Forest Sarara Campsite,,Mukogodo Forest,,,,,,,,,camp_site
4472313956,,Dirisha Private Campsite,,Mara Triangle,,,,,,,,,camp_site
4472316741,,Kiboko Private Campsite,,Mara Triangle,,,,,,,,,camp_site
4472317288,,Olarro Private Campsite,,Mara Triangle,,,,,,,,,camp_site
4472318363,,Maji Ya Ndege Private Campsite,,Mara Triangle,,,,,,,,,camp_site
4472318533,,Ndovu Private Campsite,,Mara Triangle,,,,,,,,,camp_site
4472323068,,Kishanga Private Campsite,,Mara Triangle,,,,,,,,,camp_site
4472363885,,Lakeview Campsite,,Mount Longonot National Park,,,,,,,,,camp_site
4472383602,,Wedding Site Campsite,,Naivasha,,,,,Crater Lake Sanctuary,,,,camp_site
4472392473,,Gazebo Campsite,,Naivasha,,,,,Crater Lake Sanctuary,,,,camp_site
4472438238,,Shaba Robin Hurts Campsite,,Shaba National Reserve,,,,,,,,,camp_site
4499345130,,Ndololo Public Campsite,,,,,,,,,,,camp_site
4504185692,,Lenchanda,,,,,,,,,,,camp_site
4531539892,,Oloiden Campsite,,,,,,,,,,,camp_site
4531585290,,Lake Naivasha YMCA Camp,,,,,,,,,,,camp_site
4558018791,,Rovera Camps,,,,,,,,,,,camp_site
4558676389,,Rovers Camp,,,,,,,,,,,camp_site
4613627890,,,,,,,,,Ishaqbini Community Conservancy,,,,camp_site
4717806810,,Amboseli Bush Camp,,,,,,,,,,,camp_site
4727798889,,KWS campsite,,,,,,,,,,,camp_site
4745347125,,Dunga Hill Camp,,,,,,,,,,,camp_site
4745407921,,Tea hotel campsite,,,,,,,,,,,camp_site
4772754221,,,,,,,,,,,,,camp_site
4796387021,,Lake Jipe Bandas & Campsite,,,,,,,Tsavo West National Park,,,,camp_site
4796703621,,Kamboyo Campsite (Tsavo West),,,Tsavo West National Park,,,,,,,,camp_site
4801260341,,Masai Eco Lodge,,,,,,,,,,,camp_site
4801332154,,Olgulului Campsite,,,,,,,,,,,camp_site
4830475521,,Olgulului Group Ranch Campsite,,,,,,,Amboseli National Park,,,,camp_site
4911023041,,Kipipiri Camp,,,,,,,,,,,camp_site
4916777457,,Choka Camp,,,,,,,,,,,camp_site
4979289985,,Megalith Camp,,,,,,,,,,,camp_site
4999732927,,Rongai community campsite,,,,,,,,,,,camp_site
4999977558,,Uhuru Camp,,,,,,,,,,,camp_site
5006922621,,Kami Campsite,,,,,,,,,,,camp_site
5127991022,,Kalacha AIC Campsite,,,,,,,,,,,camp_site
5128207727,,Lake Paradise Special Campsite,,,,,,,,,,,camp_site
5152284490,,Campi Ya Arusi,,,,,,,,,,,camp_site
5159549569,,Nyati Campsite,,,,,,,,,,,camp_site
5159549570,,Bongo Campsite,,,,,,,,,,,camp_site
5176278341,,Mwea NR Mavuria Special Campsite,,,,,,,,,,,camp_site
5176278349,,Mwea NR Hippo Point Campsite,,,,,,,,,,,camp_site
5181177803,,Mwea NR Campsite,,,,,,,,,,,camp_site
5181205209,,Mwea NR Sylvester Campsite,,,,,,,,,,,camp_site
5218355083,,Acacia Campsite,,Lake Bogoria NR,,,,,Lake Bogoria NR,,,,camp_site
5218380239,,Saiwa Swamp Campsite,,,,,,,,,,,camp_site
5218395864,,Shaba Daku Dima Special Campsite,,Shaba NR,,,,,Shaba NR,,,,camp_site
5218418255,,Lake Bogoria Figtree Campsite,,,,,,,,,,,camp_site
5218418298,,Shaba Funan Special Campsite,,Shaba NR,,,,,Shaba NR,,,,camp_site
5221253156,,Kudu Hills Nature Park,,,,,,,,,,,camp_site
5224484423,,Peninsula,,,,,,,,,,,camp_site
5240581708,,Melako Conservancy - Laisamis Campsite,,Laisamis,,,,,,,,,camp_site
5240581709,,Melako Conservancy - Ol Choro Campsite,,Melako,,,,,Melako,,,,camp_site
5327035897,,Lalanasi Lodge & Tented Camp,,,,,,,,,,,camp_site
5327232215,,Lake Bogoria Lake Campsite,,,,,,,,,,,camp_site
5334376522,,Kamanga,,,,,,,,,,,camp_site
5363715423,,Loisaba Acacia Campsite,,,,,,,,,,,camp_site
5385299224,,Gikururu Public Campsite,,,,,,,,,,,camp_site
5426308021,,Op,,,,,,,,,,,camp_site
5426308221,,EN,,,,,,,,,,,camp_site
5426308222,,Op,,,,,,,,,,,camp_site
5426308223,,Op,,,,,,,,,,,camp_site
5426308521,,EN,,,,,,,,,,,camp_site
5434424069,,Crocodile Camping,,,,,,,,,,,camp_site
5462751622,,,,,,,,,,,,,camp_site
5464301039,,Netbon Kudu Campsite,,,,,,,,,,,camp_site
5468843521,,campsite by waterfall in Borana,,,,,,,,,,,camp_site
5471519723,,Pan paper,,,,,,,,,,,camp_site
5488894540,,Mackinder Camping,,,,,,,,,,,camp_site
5488894630,,Lake Michaelson,,,,,,,,,,,camp_site
5555616491,,Ruma Park Public Campsite,,,,,,,,,,,camp_site
5563730460,,,,,,,,,,,,,camp_site
5564866323,,Ngong camp junction,,,,,,,,,,,camp_site
5573047123,,Kabete,,,,,,,,,,,camp_site
5586017821,,Ngong Sports,,,,,,,,,,,camp_site
5587181725,,Ngong,,,,,,,,,,,camp_site
5591697958,,Fish Eagle,,,,,,,,,,,camp_site
5639833622,,Lake Bogoria Lakeside Campsite,,,,,,,Marigat-Loboi Road,,,,camp_site
5676861421,,,,,,,,,,,,,camp_site
5786381453,,Kitich Campsite #2,,,,,,,,,,,camp_site
5799177255,,,,,,,,,,,,,camp_site
5861375492,,Koros Camp,,,,,,,,,,,camp_site
5915131585,,Elerai Campsite - Kimana Sanctuary,,,,,,,,,,,camp_site
5927044304,,Oltepesi Campsite - Kimana Sanctuary,,,,,,,,,,,camp_site
5928527254,,Olchani Campsite,,,,,,,,,,,camp_site
6015135885,,My spot,,,,,,,,,,,camp_site
6052116985,,Hill campsite in shampole reserve,,,,,,,,,,,camp_site
6054270091,,Chief's Office - Ganjoni Location,,,,,,,,,,,camp_site
6054980225,,Kisa Adventures,,,,,,,Nairobi - Nakuru Road,,,,camp_site
6066246753,,Maasai Mara University,,,,,,,,,,,camp_site
6070052119,,Ziwa bush lodge,,,,,,,,,,,camp_site
6079543966,,view point campsite,,Homa Bay,,,,,Homa Bay-Mbita Road,,,,camp_site
6116638605,,Red Hill Camp Site,,Redhill,,,,,Limuru Road,,,,camp_site
6153762485,,Ngare Ndare Campsite,,,,,,,,,,,camp_site
6191766003,,Nyaburu Chief Camp,,,,,,,,,,,camp_site
6226897856,,CRBC S5 Athi River,,Athi River,,,,,Nairobi - Mombasa Road,,,,camp_site
6232984471,,Tizi campsite,,Namanga,,,,,Athi River-Namanga Road,,,,camp_site
6244921241,,Camp Mahon Gardens,,Nanyuki,,,,,Nyeri-Nanyuki Road,,,,camp_site
6302200889,,Murera Donga,,,,,,,,,,,camp_site
6302200933,,,,,,,,,,,,,camp_site
6302200967,,Ol Lerai Campsite,,,,,,,,,,,camp_site
6302200983,,Ewaso Camp Site,,,,,,,,,,,camp_site
6302777192,,Hippo Camp Site,,,,,,,,,,,camp_site
6347038785,,The use-less center Sanctuary Farm,Mo-Su 07:00-07:00,,,,,,South Lake Road,,,,camp_site
6347038985,,The Use-Less Center,Mo-Su 07:00-07:00,,,,,,South Lake Road,,,,camp_site
