osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
30088443,,Rubis,,,"Ngong Rd, Nairobi",,,,Ngong Road,fuel,,,
30088444,,Shell,,,"Karen/Ngong Road, P.O. Box 72876 Ngong Rd, Nairobi",,,,Ngong Road,fuel,,,
30092033,,Total,,Nairobi,,,,,Ngong Road,fuel,,,
30092041,,Total,,Nairobi,,,,,Ngong Road,fuel,,,
30092080,,Rubis,,Nairobi,,,,,Ngong Road,fuel,,,
30092081,,Total,,Nairobi,,,,,Ngong Road,fuel,,,
30092149,,Total Karen Service Station,,Nairobi,"Langata Rd, Nairobi",,,,Langata Road,fuel,,,
30092217,,National Oil,,,,,,,,fuel,,,
30092222,,OLA Energy,,Nairobi,,,,,Popo Rd/Mombasa Rd,fuel,,,
30092268,,Shell,,Nairobi,,,,,Langata Road,fuel,,,
30092293,,OLA Energy,,Nairobi,,,,,Langata Road,fuel,,,
30209215,,Rubis,24/7,,,,,,,fuel,,,
30209216,,Shell,,Nairobi,,,,,Argwings Kodhek Road,fuel,,,
30210336,,Lexo,,Nairobi,,,,,Argwings Kodhek Road,fuel,,,
30210342,,Shell,,Nairobi,,,,,Argwings Kodhek Road,fuel,,,
30215040,,Rubis,,Nairobi,,,,,Uhuru Highway,fuel,,,
30215041,,Shell,,Nairobi,,,,,Haile Selassie Avenue,fuel,,,
30215045,,National Oil,,Nairobi,,,,,Haile Selassie Avenue,fuel,,,
30317859,,OLA Energy,,Nairobi,,,,,Ring Road Parklands,fuel,,,
30324284,,Total,,Nairobi,,,,,Parklands Road,fuel,,,
30402252,,Shell,,Nairobi,,,,,Parklands Road,fuel,,,
30402256,,Rubis,,Nairobi,,,,,Ojijo Road,fuel,,,
30694189,,Total,,Nairobi,,,,,Dennis Pritt Road,fuel,,,
30695755,,OLA Energy,,,,,,,Peponi Road,fuel,,,
30695844,,Shell Express,,Nairobi,,,,,Mombasa Road,fuel,,,
30695847,,Total,,,,,,,,fuel,,,
30695851,,Rubis,,Nairobi,,,,,Mombasa Road,fuel,,,
30695859,,Total Airport View,,Nairobi,,,,,Mombasa Road,fuel,,,
272712912,,Rubis,,Nairobi,,,,,United Nations Avenue,fuel,,,
272712980,,Kobil Limuru Road,,Nairobi,,,,,Limuru Road,fuel,,,
291526914,,Oilibya Parklands,,Nairobi,,,,,Limuru Road,fuel,,,
291685008,,Total Muthaiga Station,,Nairobi,,,,,Limuru Road,fuel,,,
291685032,,Rubis,,Nairobi,,,,,Limuru Road,fuel,,,
294006816,,,,,,,,,,fuel,,,
295541872,,United Nations Petrol Station,,,,,,,,fuel,,,
295829498,,Shell,,,,,,,,fuel,,,
297300621,,Total,,Narok,,,,,Kaplong-Narok-Maai Road,fuel,,,
297479797,,Engen,,,,,,,,fuel,,,
297488372,,Rubis,,Kyumvi,,,,,Mombasa Road,fuel,,,
299077773,,Total,,Voi,,,,,,fuel,,,
344709809,,OLA,,Makindu,,,,,Mombasa Road,fuel,,,
344711386,,Shell,,Voi,,,,,Mombasa Road,fuel,,,
344711462,,Total voi,,Voi,,,,,Mombasa Road,fuel,,,
344967138,,Star,,,,,,,,fuel,,,
344968330,,Kenol Petrol,,,,,,,,fuel,,,
344969170,,OLA Energy,,Mombasa,,,,,Nyerere Road,fuel,,,
344969183,,Shell,,Mombasa,,,,,Nyerere Road,fuel,,,
344969489,,National Oil,,,,,,,,fuel,,,
344969776,,National Oil,,Mombasa,,,,,Abdel Nasser Road,fuel,,,
344969924,,Total,,Mombasa,,,,,Abdel Nasser Road,fuel,,,
344970201,,OLA Energy,,Mombasa,,,,,Maalim Juma Mohamed Road,fuel,,,
344970238,,National Oil,,Mombasa,,,,,Sheikh Abdullas F.Road,fuel,,,
344970358,,Petro,,,,,,,Sheikh Abdullas F.Road,fuel,,,
344970475,,Petro,,Mombasa,,,,,Sheikh Abdullas F.Road,fuel,,,
344970554,,Engen,,Mombasa,,,,,Nyali road,fuel,,,
344971084,,Shell,,Mombasa,,,,,Nyali  Road,fuel,,,
344971195,,Makaburin National Oil,,Mombasa,,,,,Nyali  Road,fuel,,,
344971199,,Total,,Mombasa,,,,,Nyali Road,fuel,,,
344971215,,Petro,,,,,,,,fuel,,,
344971797,,Rubis,,Mombasa,,,,,Links Road,fuel,,,
344972166,,Total,,Mombasa,,,,,Malindi Road,fuel,,,
346562706,,Shell Links Road Filling Station,,Mombasa,,,,,Nyali Road,fuel,,,
371006260,,Rubis,,Mai Maihu,,,,,Kamandura-Maai Mahiu-Narok Road,fuel,,,
408800024,,OLA Energy,,Kisumu,,,,,Paul Mbuya Road,fuel,,,
415580247,,Rubis,,Kisumu,,,,,Kisumu-Busia Road,fuel,,,
415582752,,,,,,,,,,fuel,,,
415582755,,Shell,,Naivasha,,,,,Moi Avenue,fuel,,,
490741522,,Shell,,Nairobi,,,,,Mbagathi Road,fuel,,,
496772872,,Total Mbagathi Station,,Nairobi,"Mbagathi Way, Nairobi",,,,Mbagathi Way,fuel,,,
506899285,,Skyline Petrol Station,,Sagana,,,,,A2,fuel,,,
514363900,,Delta,,,,,,,,fuel,,,
521103963,,Juanco Petrol Station,,Ngong,,,,,Ngong Road,fuel,,,
521104981,,Total,,Nairobi,,,,,Argwings Kodhek Road,fuel,,,
521104991,,Total,,Nairobi,"Spring Valley,",,,,Lower Kabete Road,fuel,,,
558923017,,Rubis,,Nairobi,,,,,Naivasha Road,fuel,,,
558923029,,Shell Petrol Station,,,,,,,,fuel,,,
575635555,,Total,,Nairobi,,,,,Waiyaki Way,fuel,,,
575635656,,Rubis,,Limuru,,,,,Eldoret-Malaba Road,fuel,,,
575635685,,National Oil,,,,,,,Kiajbe Road,fuel,,,
582803761,,Shell,,Nairobi,"Madaraka, Langata Rd, Nairobi",,,,Langata Road,fuel,,,
582803762,,Total,,,"Langata Rd, Nairobi",,,,,fuel,,,
582803763,,Shell,,Nairobi,,,,,Nairobi - Mombasa Road,fuel,,,
582803840,,Shell,,Machakos,,,,,Machakos-Kitui Road,fuel,,,
610893023,,Total,24/7,Nairobi,,,,,Mombasa Road,fuel,,,
610963789,,Mara Serena Filling Station,24/7,,,,,,,fuel,,,
611049764,,OLA Energy,,Embu,,,,,Embu - Siakago Road,fuel,,,
611250509,,Filling Station,,,,,,,,fuel,,,
612007510,,kerosene pump,,,,,,,,fuel,,,
612008462,,kerosene pump,06:00-22:00,,,,,,,fuel,,,
612008520,,kerosene Pump,,,,,,,,fuel,,,
612008530,,kerosene Pump,,,,,,,,fuel,,,
612008574,,kerosene pump,,,,,,,,fuel,,,
612008812,,kerosene pump,06:00-22:00,,,,,,,fuel,,,
612008868,,Community kerosine pumb,,,,,,,,fuel,,,
612008954,,kerosene pump,,,,,,,,fuel,,,
612008960,,kerosene pump,,,,,,,,fuel,,,
612008982,,kerosene pump,,,,,,,,fuel,,,
612009002,,kerosene pump,07:00-22:00,,,,,,,fuel,,,
612009109,,kerosene pump,,,,,,,,fuel,,,
612010580,,kerosene pump,,,,,,,,fuel,,,
612932092,,Total Survey Service Station,,Nairobi,,,,,Thika Road,fuel,,,
612932110,,Kareme Petrol Station,,Juja,,,,,Thika Road,fuel,,,
612947282,,Shell Makupa,,Mombasa,,,,,Mwangeka road,fuel,,,
612947302,,Shell,,Mombasa,,,,,Airport Road,fuel,,,
612947309,,Solidarity Petrol Station,,Kilifi,,,,,,fuel,,,
612947324,,Savannah Petro Station,,Nyeri,,,,,Kiganjo,fuel,,,
642955405,,Total,,Nairobi,"Aerodrome Rd, Nairobi",,,,Langata Road,fuel,,,
653576218,,OLA Energy,,Nyahururu,,,,,Nyeri-Nyahururu Road,fuel,,,
672063360,,Lexo,,Juja,,,,,Thika Road,fuel,,,
672063362,,Huhi,,Makuyu,,,,,Embu-Nairobi Highway,fuel,,,
672063364,,Rubis,,Sagana,,,,,A2,fuel,,,
677332414,,Rubis,,Banana,,,,,Limuru Road,fuel,,,
685167543,,Engen Athi River,,Athi River,,,,,Nairobi - Mombasa Road,fuel,,,
687062880,,Kilaguni Serena Fuel Station,,,,,,,,fuel,,,
703562827,,Total Kangundo Road Service Station,,Nairobi,,,,,Kangundo Road,fuel,,,
703562828,,Total,,Nairobi,,,,,Outer Ring Road,fuel,,,
