osm_id,rooms,name,opening_ho,addrcity,addrhousen,source,man_made,shop,addrstreet,amenity,addrfull,beds,tourism
296963402,,Great Rift Valley,,,,,,,,,,,viewpoint
413574643,,Kaparatania View Point,,,,,,,,,,,viewpoint
413577490,,,,,,,,,,,,,viewpoint
413919841,,,,,,,,,,,,,viewpoint
415895276,,Baboon Cliff View Point,,,,,,,,,,,viewpoint
415999307,,Subukia View Point,,,,,,,,,,,viewpoint
430142733,,,,,,,,,,,,,viewpoint
430142747,,,,,,,,,,,,,viewpoint
472267376,,Makalia Falls viewpoint,,,,,,,,,,,viewpoint
474645242,,Impala_observation_point,,,,,,,,,,,viewpoint
474972141,,,,,,,,,,,,,viewpoint
474973856,,Corner baridi,,,,,,,,,,,viewpoint
474973921,,ngong_top,,,,,,,,,,,viewpoint
474974150,,ngong_south,,,,,,,,restaurant,,,viewpoint
550657689,,View point Baringo,,,,,,,,,,,viewpoint
586540221,,,,,,,,,,,,,viewpoint
586541177,,Swamp,,,,,,,,,,,viewpoint
611260685,,Noomotio Observation Point,,,,,,,,,,,viewpoint
646670122,,Kalango Hill,,,,,,,,,,,viewpoint
646677490,,,,,,,,,,,,,viewpoint
646677665,,,,,,,,,,,,,viewpoint
646677830,,,,,,,,,,,,,viewpoint
659517827,,,,,,,,,,,,,viewpoint
1172643721,,Picnic Place,,,,,,,,,,,viewpoint
1172744885,,Hippo Point,,,,,,,,,,,viewpoint
1172857709,,River view,,,,,,,,,,,viewpoint
1263309764,,Judgemnt cliff,,,,,,,,,,,viewpoint
1413593204,,,,,,,,,,,,,viewpoint
1578615048,,KIMC Film Department,,,,,,,,,,,viewpoint
1645650029,,Fourteen Falls,,,,Bing,,,,,,,viewpoint
1711168498,,Mudanda Rock,,,,,,,,,,,viewpoint
1711184846,,Lugard Falls,,,,GPS,,,,,,,viewpoint
1938098187,,viewpoint,,,,,,,,,,,viewpoint
2050473262,,Mahi Mahiu Longonot View Point,,,,,,,Nairobi-Nakuru Road,,,,viewpoint
2050473273,,Rift Valley View Point,,,,,,,Nairobi-Nakuru Road,,,,viewpoint
2068386262,,Bench,,,,,,,,,,,viewpoint
2079126313,,,,,,,,,,,,,viewpoint
2144689279,,Equator,,,,,,,,,,,viewpoint
2185510664,,Thompson's Falls,,,,,,,,,,,viewpoint
2365509464,,Lions Rock,,,,,,,,,,,viewpoint
2365605705,,Kudu Lookout,,,,,,,,,,,viewpoint
2365654083,,,,,,,,,,,,,viewpoint
2699575963,,,,,,,,,,,,,viewpoint
3251677831,,,,,,,,,,,,,viewpoint
3251677832,,,,,,,,,,,,,viewpoint
3251677833,,2nd Peak,,,,,,,,,,,viewpoint
3251777420,,,,,,,,,,,,,viewpoint
3269152393,,Forest canopy tower (unsafe),,,,GPS track,,,,,,,viewpoint
3294367508,,Monkey Rock,,,,,,,,,,,viewpoint
3340228546,,,,,,,,,,,,,viewpoint
3368333198,,,,,,,,,,,,,viewpoint
